대학,연도,카테고리,원래전형,개명후전형,학과,모집,경쟁률,등급50,등급70
국립순천대,2022,교과,교과(일반),교과(일반전형),화학과,4,2.25,5.61,6.43
국립순천대,2022,교과,교과(전국인재),교과(일반전형),화학과,2,2,,
국립순천대,2022,교과,교과(일반),교과(일반전형),환경공학과,5,4,4.84,5.19
국립순천대,2022,교과,교과(전국인재),교과(일반전형),환경공학과,8,2.5,5.19,5.31
국립순천대,2022,교과,교과(일반),교과(일반전형),환경교육과,2,3.5,,
국립순천대,2022,교과,교과(전국인재),교과(일반전형),환경교육과,3,5,3.8,3.88
국립순천대,2022,교과,교과(일반),교과(일반전형),회계학과,5,4.8,3.83,4.6
국립순천대,2022,교과,교과(전국인재),교과(일반전형),회계학과,2,4,4.07,4.43
동국대(W),2026,교과,교과(불교추천),교과(불교추천),불교학전공,10,,2.8,2.8
동국대(W),2026,교과,교과(불교추천),교과(불교추천),불교학전공,5,,3.4,3.4
동덕여대,2026,교과,교과(학생부교과),교과(학생부교과),컴퓨터학전공,10,3.4,3.63,3.77
동덕여대,2026,교과,교과(학생부교과),교과(학생부교과),컴퓨터학전공,16,4,3.72,3.84
동덕여대,2026,종합,종합(동덕창의리더),종합(동덕창의리더),컴퓨터학전공,9,3.89,3.77,3.78
동덕여대,2026,종합,종합(동덕창의리더),종합(동덕창의리더),컴퓨터학전공,16,4.19,4.16,4.44
부산대,2026,교과,교과(지역인재),교과(지역인재),전기공학전공,5,6,2.05,2.1
부산대,2026,교과,교과(지역인재),교과(지역인재),전기공학전공,14,7.4,2.05,2.18
부산대,2026,교과,교과(학생부교과),교과(학생부교과),전기공학전공,16,5.9,1.9,1.98
부산대,2026,교과,교과(학생부교과),교과(학생부교과),전기공학전공,12,5.4,2.13,2.19
부산대,2026,종합,종합(학생부종합),종합(학생부종합),전기공학전공,6,7.8,1.86,1.94
부산대,2026,종합,종합(학생부종합),종합(학생부종합),전기공학전공,10,7,2.14,2.25
서울기독대,2026,교과,교과(리더십),교과(리더십),글로벌휴먼경영전공,1,,,
서울기독대,2026,교과,교과(학교장추천),교과(리더십),글로벌휴먼경영전공,1,,,
서울대,2026,종합,종합(일반전형),종합(일반전형),천문학전공,20,7.65,1.88,2.44
서울대,2026,종합,종합(일반전형),종합(일반전형),천문학전공,6,10.17,,
전남대,2026,교과,교과(지역인재),교과(지역인재),간호학과,2,5.5,,
전남대,2026,교과,교과(지역인재),교과(지역인재),간호학과,20,5.85,1.85,1.96
전남대,2026,교과,교과(지역인재),교과(지역인재),약학부,2,7,,
전남대,2026,교과,교과(지역인재),교과(지역인재),약학부,25,6.76,1.24,1.29
전남대,2026,교과,교과(지역인재),교과(지역인재),의학과,3,9,,
전남대,2026,교과,교과(지역인재),교과(지역인재),의학과,78,5.46,1.09,1.12
전남대,2026,교과,교과(지역인재),교과(지역인재),치의학과,1,11,,
전남대,2026,교과,교과(지역인재),교과(지역인재),치의학과,12,10.75,1.27,1.27
한일장신대,2026,교과,교과(일반학생),교과(일반학생),간호학과,0,,5,6
한일장신대,2026,교과,교과(지역인재),교과(일반학생),간호학과,0,,7,7
호남대,2026,교과,교과(일반학생B),교과(일반학생B),자유전공학부,80,2.54,4.1,6.8
호남대,2026,교과,교과(일반학생B),교과(일반학생B),자유전공학부,16,3.75,6.45,7.18
